run	requests	errors	timeouts	missing_from_gt	strict	tie2e-3	qps	p50	p95	p99	max
s6-test-c32-rep1	95000	0	0	0	0.97299	0.98608	568.74	55.47	67.44	75.77	209.77
s6-test-c32-rep2	95000	0	0	0	0.97299	0.98608	595.64	53.13	63.80	69.61	172.03
s6-test-c32-rep3	95000	0	0	0	0.97299	0.98608	595.18	53.18	64.11	69.84	170.80
s6-test-r200-rep1	95000	0	0	0	0.97299	0.98608	199.99	25.46	31.13	34.88	103.44
s6-test-r200-rep2	95000	0	0	0	0.97299	0.98608	199.99	25.31	31.47	35.31	90.14
s6-test-r200-rep3	95000	0	0	0	0.97299	0.98608	199.99	25.16	31.38	35.59	99.83
s6-test-r400-rep1	95000	0	0	0	0.97299	0.98608	399.95	34.67	42.57	46.62	131.87
s6-test-r400-rep2	95000	0	0	0	0.97299	0.98608	399.94	34.07	42.35	46.64	113.46
s6-test-r400-rep3	95000	0	0	0	0.97299	0.98608	399.94	33.23	41.98	46.35	123.48
